esperanto,kanji,priority,source_root,source_line
finiŝ,终ᶠˢ̂,0,finis^,731
ekonomik,经济ᴱᴷ,0,ekonomik,3400
pubi,耻骨ᴾᴵ,0,pubi,5739
spontane,自发ˢᴱ,0,spontane,5790
aŭtonomi,自治ᴬᴵ,0,au^tonomi,5793
naŭtik,航ᴺᵁ̆,0,nau^tik,4169
jaĥt,艇ᴶᴴ̂,0,jah^t,4396
salikorni,草ˢᴬᴸ,0,salikorni,2377
sansevier,草ˢᴬᴺ,0,sansevier,2378
saponari,草ˢᴬᴾ,0,saponari,2326
saraceni,草ˢᴬᴿ,0,saraceni,2327
sesleri,草ˢᴱˢ,0,sesleri,2249
selaginel,草ˢᴱᴸ,0,selaginel,2379
sigilari,草ˢᴵᴳ,0,sigilari,2329
sizimbri,草ˢᴵᶻ,0,sizimbri,2330
skandik,草ˢᴷᴬ,0,skandik,2250
sklare,草ˢᴷᴸ,0,sklare,2177
skorpiur,草ˢᴷᴼ,0,skorpiur,2332
skrofulari,草ˢᴷᴿ,0,skrofulari,2400
skutelari,草ˢᴷᵁ,0,skutelari,2380
smilak,草ˢᴹᴵ,0,smilak,2179
spargani,草ˢᴾᴬ,0,spargani,2333
spergulari,草ˢᴾᴱ,0,spergulari,2401
spirantes,草ˢᴾᴵ,0,spirantes,2381
stapeli,草ˢᵀᴬ,0,stapeli,2252
stelari,草ˢᵀᴱ,0,stelari,2253
stramoni,草ˢᵀᴿ,0,stramoni,2334
sanpaŭli,草ˢᵁ̆,0,sanpau^li,2325
aspidistr,草ᴬˢᴾ,0,aspidistr,2345
astilb,草ᴬˢᵀ,0,astilb,2111
ajapan,草ᴬᴶᴬ,0,ajapan,2103
alium,草ᴬᴸᴵ,0,alium,2048
alkekeng,草ᴬᴸᴷ,0,alkekeng,2262
alokazi,草ᴬᴸᴼ,0,alokazi,2186
alpini,草ᴬᴸᴾ,0,alpini,2105
amom,草ᴬᴹᴼ,0,amom,2015
ampelopraz,草ᴬᴹᴾ,0,ampelopraz,2384
anastatik,草ᴬᴺᴬ,0,anastatik,2342
andropogon,草ᴬᴺᴰ,0,andropogon,2385
angrek,草ᴬᴺᴳ,0,angrek,2107
anil,草ᴬᴺᴵ,0,anil,2016
anturi,草ᴬᴺᵀ,0,anturi,2108
apios,草ᴬᴾᴵ,0,apios,2049
arabis,草ᴬᴿᴬ,0,arabis,2109
arenari,草ᴬᴿᴱ,0,arenari,2189
argemon,草ᴬᴿᴳ,0,argemon,2190
arkte,草ᴬᴿᴷ,0,arkte,2050
armeri,草ᴬᴿᴹ,0,armeri,2110
arunk,草ᴬᴿᵁ,0,arunk,2052
aŭbrieti,草ᴬᵁ̆,0,au^brieti,2267
azol,草ᴬᶻᴼ,0,azol,2017
baŝo,草ᴮˢ̂,0,bas^o,2008
balzamit,草ᴮᴬᴸ,0,balzamit,2268
barbare,草ᴮᴬᴿ,0,barbare,2191
biskutel,草ᴮᴵˢ,0,biskutel,2270
eŝolzi,草ᴱˢ̂,0,es^olzi,2126
eleokarit,草ᴱᴸᴱ,0,eleokarit,2352
elitrigi,草ᴱᴸᴵ,0,elitrigi,2281
epipaktid,草ᴱᴾᴵ,0,epipaktid,2353
etlinger,草ᴱᵀᴸ,0,etlinger,2284
eŭpatori,草ᴱᵁ̆,0,eu^patori,2285
hidrokarit,草ᴴᴵᴰ,0,hidrokarit,2390
hordelim,草ᴴᴼᴿ,0,hordelim,2295
ksanti,草ᴷˢᴬ,0,ksanti,2184
kaladi,草ᴷᴬᴸ,0,kaladi,2136
kamemel,草ᴷᴬᴹ,0,kamemel,2221
kantalup,草ᴷᴬᴺ,0,kantalup,2299
